Gender,Age Range,Head_Size,Brain_Weight
Female,18 years and above,3903,1334
Female,18 years and above,3899,1380
Female,18 years and above,3401,1140
Female,18 years and above,3267,1243
Female,18 years and above,3451,1340
Female,18 years and above,3090,1168
Female,18 years and above,3413,1322
Female,18 years and above,3323,1249
Female,18 years and above,3680,1321
Female,18 years and above,3439,1192
Female,18 years and above,3853,1373
Female,18 years and above,3156,1170
Female,18 years and above,3279,1265
Female,18 years and above,3707,1235
Female,18 years and above,4006,1302
Female,18 years and above,3269,1241
Female,18 years and above,3071,1078
Female,18 years and above,3779,1520
Female,18 years and above,3548,1460
Female,18 years and above,3292,1075
Female,18 years and above,3497,1280
Female,18 years and above,3082,1180
Female,18 years and above,3248,1250
Female,18 years and above,3358,1190
Female,18 years and above,3803,1374
Female,18 years and above,3566,1306
Female,18 years and above,3145,1202
Female,18 years and above,3503,1240
Female,18 years and above,3571,1316
Female,18 years and above,3724,1280
Female,18 years and above,3615,1350
Female,18 years and above,3203,1180
Female,18 years and above,3609,1210
Female,18 years and above,3561,1127
Female,18 years and above,3979,1324
Female,18 years and above,3533,1210
Female,18 years and above,3689,1290
Female,18 years and above,3158,1100
Female,18 years and above,4005,1280
Female,18 years and above,3181,1175
Female,18 years and above,3479,1160
Female,18 years and above,3642,1205
Female,18 years and above,3632,1163
Female,0 to 18 years,3069,1022
Female,0 to 18 years,3394,1243
Female,0 to 18 years,3703,1350
Female,0 to 18 years,3165,1237
Female,0 to 18 years,3354,1204
Female,0 to 18 years,3000,1090
Female,0 to 18 years,3687,1355
Female,0 to 18 years,3556,1250
Female,0 to 18 years,2773,1076
Female,0 to 18 years,3058,1120
Female,0 to 18 years,3344,1220
Female,0 to 18 years,3493,1240
Female,0 to 18 years,3297,1220
Female,0 to 18 years,3360,1095
Female,0 to 18 years,3228,1235
Female,0 to 18 years,3277,1105
Female,0 to 18 years,3851,1405
Female,0 to 18 years,3067,1150
Female,0 to 18 years,3692,1305
Female,0 to 18 years,3402,1220
Female,0 to 18 years,3995,1296
Female,0 to 18 years,3318,1175
Female,0 to 18 years,2720,955
Female,0 to 18 years,2937,1070
Female,0 to 18 years,3580,1320
Female,0 to 18 years,2939,1060
Female,0 to 18 years,2989,1130
Female,0 to 18 years,3586,1250
Female,0 to 18 years,3156,1225
Female,0 to 18 years,3246,1180
Female,0 to 18 years,3170,1178
Female,0 to 18 years,3268,1142
Female,0 to 18 years,3389,1130
Female,0 to 18 years,3381,1185
Female,0 to 18 years,2864,1012
Female,0 to 18 years,3740,1280
Female,0 to 18 years,3479,1103
Female,0 to 18 years,3647,1408
Female,0 to 18 years,3716,1300
Female,0 to 18 years,3284,1246
Female,0 to 18 years,4204,1380
Female,0 to 18 years,3735,1350
Female,0 to 18 years,3218,1060
Female,0 to 18 years,3685,1350
Female,0 to 18 years,3704,1220
Female,0 to 18 years,3214,1110
Female,0 to 18 years,3394,1215
Female,0 to 18 years,3233,1104
Female,0 to 18 years,3352,1170
Female,0 to 18 years,3391,1120
